timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663939820820,533,Go to book's details,200,OK,User Journey 1-2,text,true,,819,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba79,533,0,0
1663939820820,536,Submit order,200,OK,User Journey 1-4,text,true,,342,341,5,5,http://localhost:3000/api/v1/booksApp/orders,536,0,0
1663939821028,522,Go to main page,200,OK,User Journey 1-1,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,521,0,0
1663939821028,523,Go to basket,200,OK,User Journey 1-3,text,true,,483,272,5,5,http://localhost:3000/api/v1/booksApp/basket,522,0,0
1663939821354,210,Go to main page,200,OK,User Journey 1-2,text,true,,3977,275,5,5,http://localhost:3000/api/v1/booksApp/books,210,0,0
1663939820119,1514,Go to book's details,200,OK,User Journey 1-5,text,true,,798,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba80,1514,0,0
1663939821356,520,Go to main page,200,OK,User Journey 1-4,text,true,,3977,273,5,5,http://localhost:3000/api/v1/booksApp/books,518,0,0
1663939821553,522,Go to book's details,200,OK,User Journey 1-1,text,true,,819,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba79,522,0,0
1663939821553,529,Submit order,200,OK,User Journey 1-3,text,true,,342,339,5,5,http://localhost:3000/api/v1/booksApp/orders,529,0,0
1663939821565,518,Go to book's details,200,OK,User Journey 1-2,text,true,,583,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7c,518,0,0
1663939821634,510,Add the book to basket,200,OK,User Journey 1-5,text,true,,329,332,5,5,http://localhost:3000/api/v1/booksApp/basket,510,0,0
1663939821879,516,Go to book's details,200,OK,User Journey 1-4,text,true,,686,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7f,516,0,0
1663939822076,544,Go to main page,200,OK,User Journey 1-1,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,544,0,0
1663939822083,538,Go to main page,200,OK,User Journey 1-3,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,538,0,0
1663939822084,536,Go to main page,200,OK,User Journey 1-2,text,true,,3976,275,5,5,http://localhost:3000/api/v1/booksApp/books,525,0,0
1663939822396,529,Go to main page,200,OK,User Journey 1-4,text,true,,3977,273,5,5,http://localhost:3000/api/v1/booksApp/books,529,0,0
1663939822623,530,Go to book's details,200,OK,User Journey 1-3,text,true,,669,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,528,0,0
1663939822623,531,Go to book's details,200,OK,User Journey 1-2,text,true,,647,300,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7a,529,0,0
1663939822623,532,Go to book's details,200,OK,User Journey 1-1,text,true,,743,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7e,531,0,0
1663939822942,516,Go to book's details,200,OK,User Journey 1-4,text,true,,731,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7d,516,0,0
1663939822146,1515,Go to basket,200,OK,User Journey 1-5,text,true,,482,272,5,5,http://localhost:3000/api/v1/booksApp/basket,1515,0,0
1663939823158,529,Go to main page,200,OK,User Journey 1-3,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,527,0,0
1663939823157,532,Add the book to basket,200,OK,User Journey 1-2,text,true,,329,336,5,5,http://localhost:3000/api/v1/booksApp/basket,529,0,0
1663939823461,228,Go to main page,200,OK,User Journey 1-4,text,true,,3977,273,5,5,http://localhost:3000/api/v1/booksApp/books,224,0,0
1663939823157,538,Add the book to basket,200,OK,User Journey 1-1,text,true,,329,332,5,5,http://localhost:3000/api/v1/booksApp/basket,533,0,0
1663939823689,546,Go to book's details,200,OK,User Journey 1-4,text,true,,687,298,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7f,545,0,0
1663939823688,547,Go to book's details,200,OK,User Journey 1-3,text,true,,669,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba81,546,0,0
1663939823689,546,Go to basket,200,OK,User Journey 1-2,text,true,,483,276,5,5,http://localhost:3000/api/v1/booksApp/basket,543,0,0
1663939823681,555,Submit order,200,OK,User Journey 1-5,text,true,,342,339,5,5,http://localhost:3000/api/v1/booksApp/orders,555,0,0
1663939823695,547,Go to basket,200,OK,User Journey 1-1,text,true,,482,272,5,5,http://localhost:3000/api/v1/booksApp/basket,547,0,0
1663939824236,218,Add the book to basket,200,OK,User Journey 1-4,text,true,,329,334,5,5,http://localhost:3000/api/v1/booksApp/basket,218,0,0
1663939824237,546,Go to main page,200,OK,User Journey 1-5,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,544,0,0
1663939824236,547,Go to main page,200,OK,User Journey 1-3,text,true,,3976,271,5,5,http://localhost:3000/api/v1/booksApp/books,545,0,0
1663939824243,544,Submit order,200,OK,User Journey 1-1,text,true,,341,339,5,5,http://localhost:3000/api/v1/booksApp/orders,544,0,0
1663939824236,551,Submit order,200,OK,User Journey 1-2,text,true,,341,343,5,5,http://localhost:3000/api/v1/booksApp/orders,551,0,0
1663939824457,531,Go to basket,200,OK,User Journey 1-4,text,true,,483,274,5,5,http://localhost:3000/api/v1/booksApp/basket,531,0,0
1663939824784,533,Go to book's details,200,OK,User Journey 1-3,text,true,,731,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7d,526,0,0
1663939824784,535,Go to book's details,200,OK,User Journey 1-5,text,true,,743,296,5,5,http://localhost:3000/api/v1/booksApp/books/632d56d4c2d6451527d3ba7e,535,0,0
1663939824787,530,Go to main page,200,OK,User Journey 1-1,text,true,,3977,271,5,5,http://localhost:3000/api/v1/booksApp/books,525,0,0
1663939824788,529,Go to main page,200,OK,User Journey 1-2,text,true,,3977,275,5,5,http://localhost:3000/api/v1/booksApp/books,529,0,0
